name, code, section
KB금융, A105560, 1
한세실업, A105630, 1
우진, A105840, 1
미원홀딩스, A107590, 1
LG하우시스, A108670, 1
LG하우시스우, A108675, 1
컨버즈, A109070, 1
호전실업, A111110, 1
영원무역, A111770, 1
씨에스윈드, A112610, 1
GKL, A114090, 1
락앤락, A115390, 1
대성에너지, A117580, 1
우리들휴브레인, A118000, 1
KC코트렐, A119650, 1
조선선재, A120030, 1
코오롱인더, A120110, 1
코오롱인더우, A120115, 1
아이마켓코리아, A122900, 1
한국화장품, A123690, 1
SJM, A123700, 1
한국자산신탁, A123890, 1
현대에이치씨엔, A126560, 1
대성산업, A128820, 1
한미약품, A128940, 1
인터지스, A129260, 1
한전산업, A130660, 1
화인베스틸, A133820, 1
미원화학, A134380, 1
시디즈, A134790, 1
선진, A136490, 1
메리츠금융지주, A138040, 1
엔에스쇼핑, A138250, 1
코오롱플라스틱, A138490, 1
BNK금융지주, A138930, 1
DGB금융지주, A139130, 1
이마트, A139480, 1
핸즈코퍼레이션, A143210, 1
코오롱머티리얼, A144620, 1
세화아이엠씨, A145210, 1
덴티움, A145720, 1
삼양사, A145990, 1
삼양사우, A145995, 1
코리아오토글라스, A152330, 1
DSR, A155660, 1
애경유화, A161000, 1
한국타이어앤테크놀로지, A161390, 1
한국콜마, A161890, 1
동일고무벨트, A163560, 1
동아에스티, A170900, 1
JB금융지주, A175330, 1
한진칼, A180640, 1
한진칼우, A18064K, 1
NHN, A181710, 1
아세아시멘트, A183190, 1
종근당, A185750, 1
더블유게임즈, A192080, 1
쿠쿠홀딩스, A192400, 1
드림텍, A192650, 1
코스맥스, A192820, 1
제이에스코퍼레이션, A194370, 1
해성디에스, A195870, 1
서연이화, A200880, 1
만도, A204320, 1
삼성바이오로직스, A207940, 1
디와이파워, A210540, 1
SK디앤디, A210980, 1
한솔제지, A213500, 1
이노션, A214320, 1
금호에이치티, A214330, 1
경보제약, A214390, 1
토니모리, A214420, 1
잇츠한불, A226320, 1
현대코퍼레이션홀딩스, A227840, 1
LS전선아시아, A229640, 1
JW생명과학, A234080, 1
두산밥캣, A241560, 1
화승엔터프라이즈, A241590, 1
샘표식품, A248170, 1
일동제약, A249420, 1
넷마블, A251270, 1
크라운제과, A264900, 1
크라운제과우, A26490K, 1
현대중공업지주, A267250, 1
현대일렉트릭, A267260, 1
현대건설기계, A267270, 1
경동도시가스, A267290, 1
아시아나IDT, A267850, 1
미원에스씨, A268280, 1
오리온, A271560, 1
제일약품, A271980, 1
한화시스템, A272210, 1
진에어, A272450, 1
삼양패키징, A272550, 1
롯데제과, A280360, 1
케이씨텍, A281820, 1
BGF리테일, A282330, 1
동아타이어, A282690, 1
쿠쿠홈시스, A284740, 1
SK케미칼, A285130, 1
SK케미칼우, A28513K, 1
롯데정보통신, A286940, 1
하나제약, A293480, 1
HDC현대산업개발, A294870, 1
효성화학, A298000, 1
효성티앤씨, A298020, 1
효성중공업, A298040, 1
효성첨단소재, A298050, 1
에어부산, A298690, 1
한일시멘트, A300720, 1
세아제강, A306200, 1
현대오토에버, A307950, 1
센트랄모텍, A308170, 1
우리금융지주, A316140, 1
자이에스앤디, A317400, 1
현대에너지솔루션, A322000, 1
SK바이오팜, A326030, 1
두산퓨얼셀, A336260, 1
두산퓨얼셀1우, A33626K, 1
두산퓨얼셀2우B, A33626L, 1
두산솔루스, A336370, 1
두산솔루스1우, A33637K, 1
두산솔루스2우B, A33637L, 1
케이씨씨글라스, A344820, 1
대덕전자, A353200, 1
대덕전자1우, A35320K, 1
티와이홀딩스, A363280, 1
티와이홀딩스우, A36328K, 1
